query,resp,rank,IAS,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
il mostro nero tornado che cos Ã¨,"Tutti i tornado che hanno colpito gli Usa - Formiche.net. Definito come il “mostro nero”, il tornado coinvolse Missouri, Illinois e Indiana percorrendo oltre 350 chilometri, provocando la morte di 689 persone e ferendone oltre 200.",1,Bing,21.96,30.17,47.87,11.53,12.85,11.45,11.82,15.97,11.95,12.33,12.1
il mostro nero tornado che cos Ã¨,"I tornado più violenti della storia - Panorama. Il tornato più violento che si è abbattuto in terra Usa è avvenuto il 18 marzo 1925 in Missouri, Illinois e Indiana. Il “ mostro nero ” così è stato definito più volte dagli abitanti...",2,Bing,24.17,26.04,49.79,12.06,12.8,11.84,11.09,14.32,12.39,13.16,12.34
il mostro nero tornado che cos Ã¨,"Il mostro nero. Gli anni dei delitti di Firenze - Amazon.it. Il “Mostro nero"" non è il solito resoconto dei sedici omicidi firmati da un'introvabile calibro 22 che terrorizzarono Firenze.",3,Bing,31.11,20.59,48.3,11.5,12.13,12.49,11.94,14.06,12.15,14.49,11.22
il mostro nero tornado che cos Ã¨,"""Il Mostro nero. Gli anni dei delitti a Firenze"", esce il libro inchiesta. Da un misterioso arsenale di armi, fino all'inchiesta per depistaggio per la cartuccia che avrebbe dovuto incastrare Pacciani, passando per i sospetti della procura su un misterioso ex legionario.",4,Bing,30.0,27.92,42.08,11.77,11.83,14.16,10.72,14.03,11.8,13.63,12.05
il mostro nero tornado che cos Ã¨,"Il mostro di Firenze: un incubo che ritorna tra bugie e verità. Una serie di otto duplici omicidi, 16 vittime innocenti, avvenuti fra il 1968 e il 1985 nella provincia toscana che hanno terrorizzato il Paese e sconvolto i suoi equilibri sociali, scrivendo una delle pagine più buie e complesse della storia criminale contemporanea italiana.",5,Bing,24.64,24.69,50.67,12.14,12.63,11.42,10.77,12.78,12.15,15.07,13.05
quali cibi forniscono carboidrati,"Carboidrati semplici: cosa sono e quali alimenti li contengono - Micuro. Gli alimenti ricchi di carboidrati complessi, come cereali integrali, legumi e verdure, sono particolarmente utili per i più piccoli. Ecco una guida approssimativa all'apporto calorico per i bambini:",1,Bing,29.87,28.13,42.0,11.69,11.5,13.15,12.85,12.28,11.47,14.83,12.23
quali cibi forniscono carboidrati,"Quali alimenti contengono carboidrati? - Torrinomedica. Gli alimenti che contengono carboidrati sono numerosi e variegati. Tra questi, troviamo cereali, frutta, verdura, legumi, tuberi e prodotti lattiero-caseari. Ogni categoria di alimenti offre un diverso tipo di carboidrato, con specifiche proprietà nutrizionali e benefici per la salute.",2,Bing,34.58,24.35,41.07,11.82,13.1,12.12,10.29,12.75,11.64,17.18,11.1
quali cibi forniscono carboidrati,"Quali sono gli alimenti che contengono più carboidrati?. Capire quali alimenti contengono più carboidrati è fondamentale per pianificare una dieta equilibrata e per gestire condizioni mediche come il diabete. Nei paragrafi seguenti, esploreremo in dettaglio le diverse fonti di carboidrati e la loro classificazione.",3,Bing,32.75,23.72,43.52,10.5,10.86,11.13,11.0,13.6,12.57,16.23,14.11
quali cibi forniscono carboidrati,"Quali cibi contengono carboidrati? - Torrinomedica. Comprendere quali alimenti contengono carboidrati è essenziale per mantenere una dieta equilibrata e sana. Esistono due tipi principali di carboidrati: semplici e complessi. I carboidrati semplici, come gli zuccheri, vengono digeriti rapidamente e forniscono energia immediata.",4,Bing,36.29,27.3,36.41,11.09,11.55,10.98,11.39,12.69,13.72,15.81,12.77
quali cibi forniscono carboidrati,"Alimenti ricchi di carboidrati: quali sono e quanti ... - Melarossa. Vediamo allora quali sono i 10 cibi più ricchi di carboidrati, semplici e complessi, suddivisi in macro categorie di alimenti. 1- Alimenti ricchi di carboidrati: i cereali I cereali sono il cardine della dieta mediterranea , un’importante fonte di carboidrati che assicura l’energia di cui l’organismo ha bisogno e che quindi ...",5,Bing,34.82,27.73,37.45,11.88,11.41,11.33,10.36,13.05,11.4,17.02,13.55
quali sono due ingredienti del dolce tipico della festa del papa,"Festa del papà: 10 dolci tipici che forse non conoscete - LEITV. Quali sono i due ingredienti? Quattro uova e 250 grammi di cioccolato spalmabile. Il vostro papà non può rinunciare al caffè nemmeno durante la sua festa? Nessun problema, esiste un dolce perfetto anche per rimediare a questo: la mousse al caffè.",1,Bing,36.04,32.8,31.16,13.59,12.77,11.99,9.64,12.33,13.14,15.24,11.31
quali sono due ingredienti del dolce tipico della festa del papa,"Zeppole di San Giuseppe, storia e ricetta del dolce della festa del papà. La zeppola di San Giuseppe è un dolce amatissimo in Campania e non solo. Ha quasi l’aspetto di una nuvola fatta di pasta choux farcita con crema pasticcera e decorata dall’amarena sciroppata. Gli ingredienti sono uova, latte, zucchero, sale, amido di mais, panna, farina e acqua, quindi quelli canonici della pasticceria.",2,Bing,29.58,28.52,41.9,14.86,13.3,13.81,10.43,11.74,12.04,13.33,10.49
quali sono due ingredienti del dolce tipico della festa del papa,"5 dolci da preparare per festeggiare al meglio il proprio papà anche a .... Il 19 marzo è la Festa del Papà, in occasione della ricorrenza di San Giuseppe. Ecco quali sono i dolci tradizionali di questo giorno.",3,Bing,31.24,21.94,46.82,14.5,11.7,12.72,8.97,12.17,12.7,13.6,13.65
quali sono due ingredienti del dolce tipico della festa del papa,"Le zeppole, il dolce tipico della festa del Papà: la ricetta. Il 19 marzo è la festa di San Giuseppe e di tutti i papà. Sulle nostre tavole tornano le zeppole, delizie per ogni palato, vanto della cultura gastronomica italiana nel mondo, un cuore di pasta fritta adornato da crema pasticciera con amarena o cioccolato.",4,Bing,31.23,22.57,46.19,14.82,13.28,12.78,10.46,11.76,12.19,13.74,10.97
quali sono due ingredienti del dolce tipico della festa del papa,"Festa del papà: 5 dolci facili e veloci - LEITV. Il 19 marzo, giorno di San Giuseppe, si festeggia la festa del papà : quale occasione migliore per preparare un dolce squisito che dimostri il vostro affetto? Ecco 5 ricette facili e veloci per stupire i vostri papà, con gusto e dolcezza.",5,Bing,36.5,22.39,41.11,14.55,12.29,12.94,9.45,12.03,13.18,14.05,11.51
quali sono gli altri nomi del tornado,"Perchè i tornado hanno nomi femminili? - QualcheRisposta.it. Esistono sei liste nomi che ruotano ogni anno; ogni sei anni, perciò, i nomi delle tempeste tropicali atlantiche si ripetono. I nomi sono disposti in ordine alfabetico, uno per ogni lettera dalla A alla W saltando la Q e la U; vengono alternati nomi maschili a nomi femminili.",1,Bing,31.51,31.79,36.69,12.48,11.81,12.01,10.51,12.97,12.48,13.26,14.49
quali sono gli altri nomi del tornado,"Come vengono chiamati tornado, uragani e altri fenomeni meteorologici. Nel 1980, l'Organizzazione meteorologica mondiale e il Servizio meteorologico degli Stati Uniti decisero di comune accordo di alternare nomi di donne e uomini al momento del nome tornado o uragani. Le aree del pianeta che sono più inclini a tali fenomeni hanno il loro proprio elenco di nomi.",2,Bing,30.44,27.23,42.33,11.82,11.98,12.12,10.63,12.98,11.97,14.82,13.67
quali sono gli altri nomi del tornado,"Che differenza c’è tra uragano, ciclone, tifone e tornado?. Con il termine tornado si intende invece una violenta perturbazione atmosferica del tipo delle trombe d’aria delle nostre regioni. I tornado sono frequenti nel Messico e a est delle Montagne Rocciose.",3,Bing,30.02,31.67,38.31,11.76,12.09,12.55,9.48,15.12,11.38,12.73,14.89
quali sono gli altri nomi del tornado,"Glossario meteo: uragano, ciclone, medicane, tempesta e altri termini .... Il tornado è invece un fenomeno molto localizzato e breve durata, ma distruttivo. In pratica è un cono pendente da una nube temporalesca a supercella che ruota su se stesso con venti impetuosi. Ricordiamo che tornado e tromba d’aria sono la stessa cosa.",4,Bing,29.39,31.27,39.34,11.62,11.57,12.07,10.92,14.66,12.23,12.37,14.55
quali sono i tipi di eruzione,"Eruzioni vulcaniche: come vengono classificate? I diversi tipi ... - Geopop. I tipi di eruzioni sono 7: Hawaiana, Stromboliana, Vulcaniana, Vesuviana (o sub-pliniana), Pliniana, Ultrapliniana e Grandi caldere. Nota bene: i dati che seguono provengono dai siti dell’INGV, della Protezione Civile e del Dipartimento di Geologia dell'Università di San Diego.",1,Bing,27.9,29.68,42.42,11.36,11.33,11.89,12.01,13.38,10.81,14.74,14.48
quali sono i tipi di eruzione,"7 tipi di eruzioni vulcaniche - Mapsism. A seconda delle diverse tipologie di vulcani attivi presenti sul pianeta e in base al magma eruttato è possibile distinguere almeno 7 tipi di eruzioni vulcaniche. E’ un’eruzione effusiva – ovvero non esplosiva, quindi caratterizzata dalla produzione di lava molto fluida e calda.",2,Bing,35.62,26.23,38.15,11.15,11.07,11.72,11.18,13.84,11.65,15.69,13.69
quali sono i tipi di eruzione,"Eruzione vulcanica - Wikipedia. Ci sono diversi tipi di vulcani: vulcani attivi, quiescenti e spenti. Lo stesso argomento in dettaglio: Vulcano § In base al tipo di attività eruttiva. La classificazione si basa sulle caratteristiche magmatiche e quindi sul tipo di eruzione, da effusiva hawaiana ad esplosiva peleana.",3,Bing,30.6,28.59,40.81,11.18,11.99,11.72,10.56,13.66,10.75,15.77,14.38
quali sono i tipi di eruzione,"Tipi di eruzioni vulcaniche » Scienze geologiche - Geology Science. La forma e la struttura di un vulcano, denominata morfologia, possono influenzare i tipi di eruzione. Diversi tipi di vulcani, come gli stratovulcani, i vulcani a scudo e i vulcani a cono di scorie, mostrano caratteristiche eruttive distinte.",4,Bing,30.69,25.61,43.7,12.3,12.32,12.18,11.2,14.7,10.78,13.51,13.01
quali sono i tipi di eruzione,"I vulcani: tipologie e classificazione delle eruzioni. Da sempre hanno affascinato l'uomo, fin dal tempo dei romani. Ma come sono fatti i vulcani? Quali sono i tipi di eruzioni? Ne parliamo in questo articolo.",5,Bing,31.48,22.33,46.19,11.97,12.2,11.27,11.18,11.03,12.3,15.67,14.37
quali sono le coordinate geografiche,"Coordinate geografiche - Wikipedia. In geodesia le coordinate geografiche sono valori utili per individuare la posizione di un punto sulla superficie terrestre. Esse sono la latitudine, la longitudine e l' altitudine.",1,Bing,37.25,20.38,42.36,11.02,11.0,11.36,11.02,13.03,12.39,15.95,14.23
quali sono le coordinate geografiche,"Le coordinate geografiche: cosa sono latitudine, longitudine e ... - Geopop. Le tre coordinate assolute sono latitudine, longitudine e altitudine: vediamole nel dettaglio. Le linee di latitudine sono le linee che individuano con un numero positivo o negativo la distanza (espressa in gradi, quindi è detta “distanza angolare”) di un punto dall’Equatore.",2,Bing,33.33,27.5,39.17,11.41,11.59,12.5,10.82,13.48,12.36,14.28,13.55
quali sono le coordinate geografiche,"Coordinate geografiche: quali sono, come si misurano e ... - YouMath. Le coordinate geografiche sono latitudine, longitudine e altitudine; le coordinate geografiche permettono di individuare univocamente qualsiasi punto della superficie terrestre, e in particolare latitudine e longitudine si misurano in gradi, mentre l'altitudine si misura in metri.",3,Bing,41.47,23.02,35.51,11.26,10.71,11.57,10.83,13.51,12.95,15.17,14.0
quali sono le coordinate geografiche,"Spiegazione delle coordinate geografiche, conversione e calcolo. Il World Geodetic System del 1984 è un sistema di riferimento geodetico utilizzato da molti dispositivi GPS come base uniforme per le informazioni di posizione sulla Terra. Le coordinate geografiche descrivono un punto per la sua distanza angolare dall'equatore.",4,Bing,31.88,22.13,45.99,11.25,12.01,11.81,10.14,12.83,10.79,16.34,14.82
quali sono le coordinate geografiche,"Coordinate geografiche - Enciclopedia - Treccani. Le coordinate geografiche sono un sistema di valori che permette di trovare un punto su una superficie o nello spazio. In un piano, ogni punto ha due riferimenti: uno lungo la direzione nord-sud e l'altro su quella est-ovest.",5,Bing,35.5,23.09,41.41,11.12,12.03,12.94,9.3,12.65,11.58,16.19,14.21
quali sono le regole del basket,"Regole basket, quanto dura una partita e tutte le informazioni ... - Angap. Scopri le principali regole del basket, il campo da gioco, le attrezzature, la palla e il tempo di gioco. Leggi anche le differenze tra il basket femminile e quello maschile e le competizioni più importanti.",1,Bing,27.1,27.1,45.8,14.19,12.43,13.55,10.11,11.53,11.49,14.2,12.5
quali sono le regole del basket,Il basket: storia e regole del gioco della pallacanestro. Cos'è il basket? Storia e regole di gioco dello sport detto anche pallacanestro: riassunto utile per una tesina di educazione fisica,2,Bing,26.91,24.07,49.02,14.58,11.74,13.82,10.32,10.91,11.58,13.81,13.24
quali sono le regole del basket,"Pallacanestro - Wikipedia. Le regole applicate a livello internazionale in tutte le competizioni, Mondiali e Olimpiadi comprese, sono leggermente diverse da quelle in uso nella NBA. Innanzitutto nella lega statunitense i quarti sono da dodici minuti anziché dieci, e un giocatore può commettere sei falli prima di dovere lasciare il campo anziché cinque (ma il rapporto ...",3,Bing,32.71,24.31,42.99,12.28,11.36,12.71,10.88,12.38,11.95,15.81,12.62
quali sono le regole del basket,"Regole della pallacanestro - Wikiversità. Regole temporali. Un giocatore non può restare nell’area avversaria per più di 3 secondi, una squadra non può possedere il pallone senza superare la metà campo per più 8 secondi, né lo può possedere senza tentare di tirare a canestro per più di 24 secondi.",4,Bing,29.42,30.56,40.03,12.84,10.72,14.03,9.74,12.39,12.59,14.56,13.15
quali sono le regole del basket,"lLe Regole e i Fondamentali del Basket - Risorse didattiche. Le regole del gioco sono tantissime e governano ogni più piccolo aspetto della gara. Per la comprensione del gioco, almeno nei suoi aspetti sostanziali, sufficiente capire alcuni punti",5,Bing,36.2,27.08,36.71,12.83,11.61,13.41,10.19,12.07,12.21,15.24,12.45
quali sono le regole del tennis,"Le regole del tennis: tutto quello che c’è da sapere - bwin news. In questo articolo andremo a parlare ed approfondire quelle che sono le regole del tennis e i dettagli di gioco di questo sport, tanto bello e affascinante quanto complesso nelle sue peculiarità. In questa guida scopriremo: Scopo del gioco; Attrezzature; Colpi; Punteggio; Falli; Tipi di torneo; Il tennis e il doppio, differenze e regole",1,Bing,31.5,22.65,45.85,13.66,11.47,14.0,9.93,11.44,11.64,14.81,13.04
quali sono le regole del tennis,"Come si gioca a tennis: tutte le regole di questo sport. Per imparare come si gioca a tennis, prima di entrare in campo è necessario innanzitutto conoscere tutte le regole di questo sport. Vediamo quindi insieme cosa prevede il regolamento del tennis, passo dopo passo.",2,Bing,31.85,23.63,44.52,13.37,10.97,14.16,9.8,11.22,11.99,15.0,13.5
quali sono le regole del tennis,REGOLE DI TENNIS - FITP. La Federazione internazionale di tennis (ITF) è l’organismo che governa il gioco del tennis e comprende fra i suoi compiti e le sue responsabilità la tutela dell’integrità del gioco attraverso l’emanazione delle regole di tennis.,3,Bing,28.26,21.45,50.29,14.21,11.92,13.86,10.1,11.28,10.62,14.96,13.04
quali sono le regole del tennis,"Regole del tennis: una guida per iniziare a giocare!. Che siate principianti o giocatori esperti, capire e padroneggiare le regole del tennis è essenziale per creare partite spettacolari in campo. In questo articolo, approfondiremo le complessità del gioco, guidandovi attraverso le regole che governano questo sport e fornendovi le conoscenze necessarie per eccellere.",4,Bing,32.71,20.24,47.05,13.35,11.3,13.13,9.92,11.96,12.64,14.24,13.45
quali sono le regole del tennis,"Regole e regolamento Tennis: Punteggio Tie Break e Falli. Il tennis è uno sport affascinante e complesso, con un insieme di regole che garantiscono il fair play e l’eccitazione del gioco. In questa guida, esploreremo le regole fondamentali del tennis, il sistema di punteggio, le specificità del tie-break e le diverse tipologie di falli.",5,Bing,33.13,21.74,45.13,13.79,12.01,13.07,10.59,11.28,11.1,14.65,13.51
quando e nato il tennis,"Storia del tennis - Wikipedia. Durante il XVIII e all'inizio del XIX secolo il real tennis diminuì molto il suo seguito di praticanti e spettatori, sostituito da altri tre sport con palla e racchetta: il racquets, lo squash e il lawn-tennis, ovvero lo sport che tutti conoscono semplicemente come tennis.",1,Bing,30.71,24.73,44.56,15.15,12.33,15.11,9.27,10.81,11.07,13.0,13.26
quando e nato il tennis,"Chi ha inventato il tennis? Ecco la storia di uno sport antico. Quando e dove è nato il tennis? Il gioco del tennis è nato in Inghilterra il 23 febbraio 1874, grazie all’invenzione del Maggiore inglese Walter Clopton Wingfield.",2,Bing,27.92,21.59,50.49,13.85,12.09,13.55,10.47,11.8,11.25,14.15,12.84
quando e nato il tennis,"Tennis: origini e storia di uno sport nobile - FocusJunior.it. A proposito, il tennis come lo conosciamo oggi “rimpiazzò” la pallacorda nel XIX secolo grazie a Walter Clopton Wingfield, militare britannico che nel 1874 perfezionò uno sport simile a quello moderno, che si giocava all’aperto e che fu perciò detto Lawn Tennis, “tennis da prato”.",3,Bing,32.71,21.45,45.84,13.88,11.9,13.02,10.81,11.7,12.32,14.16,12.21
quando e nato il tennis,"Breve storia del tennis - Tennis Circus. Nato 144 anni fa, il tennis ha ormai una lunga storia, che ha radici nel Medioevo e, in seguito, dal ""jeu de paume"", nato in Francia secoli fa.",4,Bing,23.6,28.73,47.66,14.96,12.11,14.39,10.34,10.86,11.69,12.66,12.99
quando e nato il tennis,"Tennis: quando e come nasce? - Filodiritto. Le origini del gioco del tennis si perdono nell’antichità, quando si giocava lanciando la palla con le mani o con appositi guanti. L’invenzione del tennis moderno, però, è della seconda metà dell’Ottocento, ad opera di un maggiore dell’esercito inglese.",5,Bing,30.8,23.92,45.28,13.72,12.36,13.41,10.69,11.72,11.17,14.23,12.7
quanti esemplari di leopardo delle nevi sono rimasti,"Chi è il leopardo delle nevi e perché è detto “fantasma ... - Kodami. Il leopardo delle nevi è considerato vulnerabile all’estinzione secondo la Lista Rossa della IUCN (Unione internazionale per la conservazione della natura) e ad oggi si stimano solo dai 4.000 ai 7.000 esemplari rimasti in natura, rendendolo di fatto una delle specie di grandi felidi più rare e minacciate.",1,Bing,27.48,28.58,43.95,12.0,11.8,11.46,11.9,13.45,11.4,14.73,13.26
quanti esemplari di leopardo delle nevi sono rimasti,"Leopardo delle nevi: la guida a questo felino in via di estinzione. Dove si sa che ne esistono di più è in Cina, con una stima tra i 2000 e i 2500 esemplari (praticamente la metà delle sue specie), mentre dove non ne sono rimasti quasi più è in Uzbekistan (appena 20-50).",2,Bing,27.41,30.86,41.73,12.96,12.81,12.72,10.54,13.09,11.26,13.82,12.8
quanti esemplari di leopardo delle nevi sono rimasti,"Cosa mangia il leopardo delle nevi? - animali.wiki. Il leopardo delle nevi può viaggiare a una velocità di 78 km/h. Allora, quanti leopardi sono rimasti? Tra i grandi felini il leopardo è la specie più diffusa al mondo: si trova in Africa, in Medio Oriente e in Asia.",3,Bing,29.63,32.29,38.08,12.37,12.38,11.93,10.97,13.98,11.77,13.06,13.55
quanti esemplari di leopardo delle nevi sono rimasti,"Perché il leopardo delle nevi è in pericolo d'estinzione? - AnimalPedia. A partire dai risultati sugli studi di monitoraggio della popolazione di leopardo delle nevi, diverse organizzazioni ecologiste denunciano che la specie ha subito una diminuzione del 20% dei suoi esemplari negli ultimi 20 anni.",4,Bing,26.46,24.87,48.67,11.37,11.69,11.03,10.95,15.33,11.58,13.69,14.36
quanti esemplari rimangono di leopardo delle nevi,"Il leopardo delle nevi è un cacciatore formidabile e un maestro del .... Un altro aspetto straordinario del leopardo delle nevi è la sua forza relativa: un esemplare adulto, che pesa mediamente tra i 30 e i 55 kg, può abbattere prede che superano di tre...",1,Bing,33.02,28.87,38.11,12.9,12.44,12.3,11.1,13.65,12.91,12.81,11.89
quanti esemplari rimangono di leopardo delle nevi,Adotta un leopardo delle nevi a distanza | WWF Sostieni. Ad oggi rimangono meno di 7 mila esemplari in natura: adotta a distanza la specie del leopardo delle nevi e aiuta il WWF a proteggere questi animali e l’habitat in cui vivono. Un piccolo gesto può portare ad un grande cambiamento.,2,Bing,27.71,30.36,41.94,11.69,12.21,11.15,11.63,13.71,12.78,14.22,12.61
quanti esemplari rimangono di leopardo delle nevi,"Leopardo delle nevi, sul pianeta restano solo 4mila esemplari. Roma, 23 ott. – (Adnkronos) – Il leopardo delle nevi (Panthera uncia) è una delle specie più rare e meno studiate al mondo: restano appena 4.000 esemplari e sono distribuiti in maniera frammentata tra le montagne di Afghanistan, Bhutan, Cina, India, Kazakihstan, Kyrgyzstan, Mongolia, Nepal, Pakistan, Russia, Tajikistan e Uzbekistan.",3,Bing,23.19,27.96,48.86,12.23,12.84,11.69,10.9,13.45,11.58,13.65,13.66
quanti esemplari rimangono di leopardo delle nevi,Leopardo delle nevi: oltre il 70% dell’habitat ancora inesplorato. Il numero attuale stimato di esemplari si aggira attorno ai 3500. Cifre di cui disponiamo grazie a campagne di ricerca attivate in molteplici punti dell’areale di distribuzione del leopardo.,4,Bing,28.86,26.29,44.85,12.4,10.99,11.64,10.34,13.67,11.74,14.3,14.93
quanti esemplari rimangono di leopardo delle nevi,"Il leopardo delle nevi - best5.it. Si calcola che in natura ne rimangano solo 4000 esemplari e la popolazione è in declino. Ma scopriamo insieme questo meraviglio, rarissimo e schivo felino: il leopardo delle nevi!",5,Bing,24.14,29.82,46.04,13.09,12.68,11.25,11.84,14.23,12.1,12.49,12.31
quanti giocatori ci sono in ogni squadra di basket,"Quanti sono i giocatori di una squadra di basket - Chimica-online. Una partita di basket viene disputata tra due squadre composte da cinque giocatori ciascuna; inoltre, ciascuna squadra, dispone in panchina di un numero di riserve che può variare, a seconda dei campionati, da 5 a 7.",1,Bing,26.79,28.77,44.44,15.5,11.06,14.83,9.81,10.88,10.5,13.79,13.64
quanti giocatori ci sono in ogni squadra di basket,"Quanti giocatori ci sono in una squadra di basket? - UNIBET. Quanti giocatori ci sono in una squadra di basket in NBA. Oltre ai 5 giocatori in campo, nella lega professionistica più famosa del mondo ce ne possono essere fino ad 8 in panchina, per un totale quindi di 13 giocatori a disposizione dell’allenatore, che li può impiegare nei 48 minuti di partita.",2,Bing,27.07,29.58,43.35,14.13,12.25,14.08,9.5,11.3,11.26,14.61,12.87
quanti giocatori ci sono in ogni squadra di basket,"Quanti giocatori ci sono in una squadra di basket?. Le regole della pallacanestro ammettono per ogni squadra 5 giocatori in campo, più dalle 5 alle 7 riserve che possono entrare a giocare in caso di infortunio dei giocatori. Il tempo di una partita di basket è diviso in 4 turni da 10 o 12 minuti l’uno e la partite può essere interrotta al fischio dell’arbitro.",3,Bing,26.52,30.57,42.91,14.94,11.59,14.62,9.12,11.93,11.0,13.51,13.29
quanti giocatori ci sono in ogni squadra di basket,"Quanti giocatori sono in una squadra di basket?. La WNBA segue le regole FIBA di avere un limite di 12 giocatori in una squadra di basket. Ciò significa che cinque giocatori della stessa squadra in campo in un dato momento, e fino a 7 giocatori in panchina disponibili per la sostituzione.",4,Bing,26.86,26.08,47.06,14.68,12.2,14.12,9.73,11.46,11.21,14.06,12.53
quanti giocatori ci sono in ogni squadra di basket,"Da quanti giocatori è composta una squadra di basket?. Nella Lega Basket Serie A sono presenti, per ogni squadra, 5 giocatori in campo e 7 in panchina; ciascuna squadra ha pertanto a disposizione 12 giocatori. Dodici giocatori di una squadra di basket di serie A: di questi, 5 scenderanno in campo e i restanti 7 andranno in panchina.",5,Bing,26.1,24.03,49.86,15.31,12.44,15.45,8.53,10.75,10.56,13.89,13.06
quanti sono i fantasmi delle montagne,"Leopardi delle Nevi: I Fantasmi delle Montagne - RemNews.it. Conosciuti anche come “i fantasmi delle montagne” a causa della loro incredibile capacità di mimetizzazione, questi felini elusivi sono un simbolo di bellezza e resistenza. Esploriamo come si sono evoluti per sopravvivere in uno degli ambienti più difficili della Terra.",1,Bing,24.76,25.63,49.6,12.17,12.29,11.77,10.18,13.35,12.88,15.56,11.82
quanti sono i fantasmi delle montagne,"I fantasmi esistono davvero? Cosa ci dice la scienza sulla loro .... La scienza può spiegare i fantasmi? L'indagine tra forze della natura, meccanica quantistica e leggi della termodinamica",2,Bing,28.31,27.42,44.27,10.96,10.72,11.6,10.94,12.44,10.35,17.21,15.78
quanti sono i fantasmi delle montagne,Chi è il leopardo delle nevi e perché è detto “fantasma delle montagne”. Il misterioso leopardo delle nevi è un grosso carnivoro che abita le regioni montuose dell’Asia centrale. Da sempre è protagonista di miti e racconti ed è detto anche fantasma delle montagne per il suo comportamento elusivo.,3,Bing,26.98,29.68,43.35,11.5,11.54,12.19,11.59,14.59,12.51,12.99,13.09
quanti sono i fantasmi delle montagne,"Mongolia, il Fantasma delle Montagne esiste: è il leopardo delle nevi. Una gigantesca indagine durata 4 anni, finalmente regala informazioni in merito al leopardo delle nevi in Mongolia. Lo chiamano Fantasma delle Montagne perché riuscire a immortalarlo e...",4,Bing,27.04,29.12,43.84,11.23,11.61,13.1,10.1,13.96,11.64,13.72,14.63
quanti sono i fantasmi delle montagne,"Fantasmi, milioni di persone li vedono e ci parlano | Esiste una .... Molti ci credono ed hanno conversazioni con loro, ma sono state trovate spiegazioni scientifiche. I fantasmi sono figure affascinanti e misteriose che popolano le leggende e le tradizioni di molte culture.",5,Bing,32.53,28.61,38.86,12.18,13.22,12.35,13.48,14.48,11.02,11.88,11.38
tre animal a rischio estinzione,"26 specie animali che l’uomo sta spingendo verso l’estinzione. La Lista rossa dell’Unione Internazionale per la Conservazione della Natura, ovvero la fonte di informazioni più completa sullo stato di rischio di estinzione globale di specie animali, fungine e vegetali, ha stimato l’esistenza di 138.300 specie ad oggi, di cui il 28% è a rischio di estinzione.",1,Bing,28.65,20.78,50.57,11.74,11.78,11.13,11.77,13.9,10.9,15.68,13.1
tre animal a rischio estinzione,"Animali a rischio di estinzione, i primi 10 - Wired Italia. Secondo gli studiosi, a oggi, una percentuale compresa tra l’1 e il 2,5% delle specie di uccelli, mammiferi, anfibi, rettili e pesci si è già estinto. Tuttavia, i tentativi di...",2,Bing,33.88,26.67,39.46,11.59,11.85,11.83,12.23,14.44,10.95,13.27,13.84
tre animal a rischio estinzione,"10 animali in via di estinzione: le specie a rischio - Ecocentrica. I 10 animali più a rischio di estinzione al mondo e da salvare: quali altre specie stanno sparendo oltre a gorilla, tartarughe ed elefanti? Con Ecocentrica.",3,Bing,26.92,24.07,49.01,12.04,12.58,11.01,11.58,14.23,12.76,13.7,12.09
tre animal a rischio estinzione,"Animali in via d’estinzione: 10 specie a rischio in Italia e nel mondo. Cambiamento climatico, deforestazione e bracconaggio: sono solo alcune delle principali cause che portano ogni anno all’estinzione di centinaia di specie animali. Ma cosa possiamo fare per fermare questo triste fenomeno? Scopriamolo insieme.",4,Bing,27.33,28.56,44.11,11.69,11.97,11.24,11.56,14.35,12.21,14.28,12.7
tre animal a rischio estinzione,"10 animali a rischio estinzione che forse non conosci - Fanpage.it. Secondo l’ IUCN, l'Unione Internazionale per la Conservazione della Natura, a oggi oltre 45.300 specie animali e vegetali che rischiano di estinguersi. La maggior parte (il 41%) sono anfibi, il...",5,Bing,29.41,25.49,45.11,12.15,12.2,11.42,12.93,13.4,11.53,14.77,11.59
trova tre animali a rischio di estinzione,"26 specie animali che l’uomo sta spingendo verso l’estinzione. La Lista rossa dell’Unione Internazionale per la Conservazione della Natura, ovvero la fonte di informazioni più completa sullo stato di rischio di estinzione globale di specie animali, fungine e vegetali, ha stimato l’esistenza di 138.300 specie ad oggi, di cui il 28% è a rischio di estinzione.",1,Bing,28.65,20.78,50.57,11.74,11.78,11.13,11.77,13.9,10.9,15.68,13.1
trova tre animali a rischio di estinzione,"10 animali in via di estinzione: le specie a rischio - Ecocentrica. I 10 animali più a rischio di estinzione al mondo e da salvare: quali altre specie stanno sparendo oltre a gorilla, tartarughe ed elefanti? Con Ecocentrica.",2,Bing,26.92,24.07,49.01,12.04,12.58,11.01,11.58,14.23,12.76,13.7,12.09
trova tre animali a rischio di estinzione,"Animali a rischio di estinzione, i primi 10 - Wired Italia. Secondo gli studiosi, a oggi, una percentuale compresa tra l’1 e il 2,5% delle specie di uccelli, mammiferi, anfibi, rettili e pesci si è già estinto. Tuttavia, i tentativi di...",3,Bing,33.88,26.67,39.46,11.59,11.85,11.83,12.23,14.44,10.95,13.27,13.84
