query,resp,IAS,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
Temperature estive superano quelle misurate nel 2019,Superano le temperature misurate nel 2019. Non ho informazioni sul valore specifico,Gemma,42.04,23.13,34.83,11.43,9.26,10.07,12.08,11.13,12.76,19.99,13.27
spiagge bandiera blu 2019,Ciao! Sono in grado di utilizzare il italiano. Come posso essere utile oggi?,Gemma,32.8,30.18,37.02,10.24,11.84,10.63,10.78,13.12,13.55,17.95,11.89
spiagge bandiera blu 2019 molise,Ciao! Sono in grado di utilizzare il italiano. Come posso essere utile oggi?,Gemma,32.8,30.18,37.02,10.24,11.84,10.63,10.78,13.12,13.55,17.95,11.89
Regole per tenere pulite le spiagge,"Ok, understood. I will use only Italian language and refrain from using English unless necessary for programming.",Gemma,25.76,28.7,45.54,14.85,12.77,15.03,11.14,12.37,11.03,9.87,12.95
 Spiagge con bandiera b,Ciao! Sono in grado di utilizzare il italiano. Qual'altra cosa posso fare per te oggi?,Gemma,32.07,33.51,34.42,10.83,12.13,11.35,10.59,12.57,13.0,17.07,12.46
 Spiagge con bandiera blu,Ciao! Sono in grado di utilizzare il italiano. Cosa posso fare per te oggi?,Gemma,30.66,33.36,35.98,10.83,12.13,11.35,10.59,12.57,13.0,17.07,12.46
 Spiagge con bandiera della loro pulizia,Le spiagge con bandiera della loro pulizia sono un simbolo di libertà e di speranza.,Gemma,24.4,19.05,56.55,13.7,13.57,11.38,9.74,12.08,12.38,15.99,11.16
 Spiagge con bandiera di certificazione della loro pulizia,"Le spiagge con bandiera di certificazione della loro pulizia sono un prodotto di alta qualità, e",Gemma,28.21,19.29,52.51,12.52,12.57,12.35,9.71,11.85,10.77,17.55,12.68
Causa della riduzione del lago aral,La causa della riduzione del lago aral è complessa e si è sviluppata nel corso dei secoli,Gemma,30.42,28.37,41.22,10.79,11.92,12.48,9.1,13.45,12.27,15.93,14.05
Isola di plastica,"Le parole in italiano sono:

* **Isola** (un luogo in cui è presente un",Gemma,35.92,17.73,46.36,12.62,13.14,12.06,10.44,12.31,12.57,15.61,11.26
Spiagge con certificazione di pulizia ,"Le spiagge con certificazione di pulizia sono un prodotto di pulizia per le aree a pelo, che",Gemma,28.74,28.59,42.67,11.67,13.59,13.75,9.95,12.22,10.27,16.61,11.94
Anno con temperature piÃ¹ alte,L'anno con temperatura piÃ¹ alte è un anno in cui la temperatura media della Terra è,Gemma,32.49,26.25,41.26,11.96,11.31,12.73,7.46,12.99,13.26,13.8,16.49
Anno con temperature piÃ¹ alte ,L'anno con temperatura piÃ¹ alte è un anno in cui la temperatura media della Terra è,Gemma,32.49,26.25,41.26,11.96,11.31,12.73,7.46,12.99,13.26,13.8,16.49
PerchÃ¨ gli orsi polari stanno diminuendo drasticamente di numero,I sentimi un'ombra di paura nel cuore. I grandi fiumi che una volta scorre,Gemma,35.22,30.28,34.5,12.78,13.4,13.47,9.11,13.59,13.2,13.39,11.06
Quale nome si usa per definire una persona che ha a cuore ambiente,Il nome più comune per definire una persona che ha a cuore ambiente è **ecologo**.,Gemma,30.67,23.0,46.33,11.96,12.27,11.32,11.33,12.74,13.1,15.91,11.38
Conseguenze negative della distruzione della foresta amazzonica,"La frase in italiano è:

""Conseguenze negative della distruzione della foresta amazz",Gemma,25.88,25.24,48.88,12.51,14.53,11.79,11.02,12.8,12.02,13.95,11.38
Cosa Ã¨ Ä¾isola di plastica,L'isola di plastica è un'isola di plastiche nel mare. I plastiche sono un,Gemma,19.65,18.78,61.57,13.42,13.21,15.47,7.54,12.61,12.17,13.0,12.58
Di cosa si occupa il WWF ?,Il WWF (World Wildlife Fund) è una organizzazione internazionale che si impegna a proteggere,Gemma,23.66,18.07,58.27,9.92,10.45,11.16,10.68,13.85,12.43,17.81,13.71
Dove si trova Ä¾isola di plastica Cosa Ã¨,"L'Ä¾isola di plastica Cosa è un luogo di mare in Europa centrale, situato tra la",Gemma,25.01,25.53,49.45,12.48,11.24,12.13,9.39,13.89,13.7,14.34,12.83
netflix,Ciao! Sono un modello linguistico italiano. Qual'altra cosa posso fare per te oggi?,Gemma,30.59,35.42,33.99,11.13,11.0,10.58,11.56,13.13,11.67,16.97,13.97
 persona che rispetta la natura,La persona che rispetta la natura è una persona che si adora e si cura in modo naturale,Gemma,30.49,23.23,46.28,10.02,13.61,11.52,12.39,12.69,12.17,16.01,11.59
Qual Ã¨ la causa della riduzione del lago Aral,Il lago Aral è un lago di acqua salata che si trova in Uzbekistan. La causa della,Gemma,27.59,33.64,38.77,12.44,12.46,14.54,8.76,14.22,12.72,12.76,12.1
Quale nome si usa per definire una persona che ha a cuore l,"Il nome per definire una persona che ha a cuore l'essere è ""amore"".",Gemma,32.22,30.12,37.66,13.96,12.5,11.68,11.02,11.69,13.4,14.9,10.84
Cosa Ã¨  Ocean  Cleanup,L'Ocean Cleanup è un progetto internazionale che si è sviluppato per raccogliere e riutilizzare,Gemma,26.05,16.06,57.89,10.84,9.93,11.01,11.4,12.78,12.58,15.83,15.62
Dove si trova Äº isola di plastica,"L'isola di plastica si trova nel Mare del Sud, nell'Oceano Atlantico.",Gemma,25.58,27.4,47.02,12.73,13.49,14.71,7.62,12.84,12.53,13.56,12.53
QuaÄº Ã¨ la causa della riduzione del lago aral,La causa della riduzione del lago aral è complessa e multifattoriale. Tra le principali,Gemma,25.23,35.85,38.92,10.93,12.01,11.86,9.22,13.85,12.88,15.39,13.86
cos e la biodiversitÃ ,La biodiversità è la varietà di specie e di habitat nella Terra. È un campo di ricerca inter,Gemma,26.98,20.78,52.24,12.26,11.89,12.78,10.71,12.94,11.62,15.06,12.74
Cosa Ã¨ ocean cleanup? Ita,L'Cleanup Ocean è un movimento internazionale che si è formato per combattere la pollution del mare.,Gemma,22.64,16.85,60.5,11.5,11.34,12.25,10.34,13.16,14.0,14.29,13.13
Cosa Ã¨ ocean cleanup? Italino,L'Cleanup Ocean è un movimento internazionale che si è formato per combattere la pollution del mare.,Gemma,22.64,16.85,60.5,11.5,11.34,12.25,10.34,13.16,14.0,14.29,13.13
Dove si trova Ä¾isola di plastica?,"L'Ä¾isola di plastica si trova nel Mare del Sud, nell'Oceano Atlan",Gemma,29.08,31.25,39.67,12.32,13.57,14.33,7.53,13.35,12.93,13.51,12.46
Quali sono le regole per tenere le spiagge pulite ?,"Le spiagge sono pulite quando sono cleane, limpi e non hanno resti di cibo",Gemma,26.54,23.98,49.48,13.36,12.93,12.95,10.34,12.04,11.3,16.45,10.63
di cosa si occupa il wwf,"Il wwf, o World Wide Web Foundation, è una organizzazione internazionale senza scopo lucrativo che",Gemma,23.9,16.89,59.22,11.7,10.91,12.2,11.1,13.29,10.53,16.18,14.09
Di cosa si occupa il WWF?,Il WWF (World Wildlife Fund) è una organizzazione internazionale che si impegna a proteggere,Gemma,23.66,18.07,58.27,9.92,10.45,11.16,10.68,13.85,12.43,17.81,13.71
Cosa Ã¨ Ocean Cleanup ?,L'Ocean Cleanup è un progetto internazionale di volontariato che si è sviluppato per raccogliere e,Gemma,21.38,15.29,63.33,11.07,10.64,11.81,10.51,12.0,12.13,16.77,15.07
Quali sono le regole per tenere le spiagge pulite?,"Non ho la capacità di avere opinioni o di avere emozioni, quindi non posso fornire informazioni su come",Gemma,37.0,32.46,30.54,10.9,9.84,10.0,10.26,11.63,11.71,21.86,13.8
Di cosa si occupa la WWF,La WWF (World Wildlife Fund) è una organizzazione internazionale che si impegna a proteggere,Gemma,23.66,18.07,58.27,9.92,10.45,11.16,10.68,13.85,12.43,17.81,13.71
Cosa Ã¨ ocean cleanup?,L'Cleanup Ocean è un movimento internazionale che si è formato per combattere la pollution del mare.,Gemma,22.64,16.85,60.5,11.5,11.34,12.25,10.34,13.16,14.0,14.29,13.13
